,index,train,test,forecast
270,2012-08-19,40026.18,,
271,2012-08-20,38744.42,,
272,2012-08-21,37815.45,,
273,2012-08-22,37369.14,,
274,2012-08-23,37263.35,,
275,2012-08-24,37624.71,,
276,2012-08-25,38687.29,,
277,2012-08-26,38567.19,,
278,2012-08-27,39589.04,,
279,2012-08-28,38325.06,,
280,2012-08-29,39500.46,,
281,2012-08-30,39693.94,,
282,2012-08-31,38564.85,,
283,2012-09-01,39517.01,,
284,2012-09-02,42865.21,,
285,2012-09-03,39822.24,,
286,2012-09-04,39716.14,,
287,2012-09-05,38868.2,,
288,2012-09-06,38445.31,,
289,2012-09-07,38285.18,,
290,2012-09-08,39235.18,,
291,2012-09-09,40934.08,,
292,2012-09-10,40549.21,,
293,2012-09-11,39250.81,,
294,2012-09-12,39515.05,,
295,2012-09-13,39392.79,,
296,2012-09-14,39810.7,,
297,2012-09-15,40334.17,,
298,2012-09-16,43304.53,,
299,2012-09-17,41370.94,,
300,2012-09-18,41147.92,,
301,2012-09-19,41546.17,,
302,2012-09-20,42103.43,,
303,2012-09-21,43045.7,,
304,2012-09-22,43956.62,,
305,2012-09-23,51240.26,,
306,2012-09-24,47379.17,,
307,2012-09-25,45504.74,,
308,2012-09-26,46323.07,,
309,2012-09-27,46087.9,,
310,2012-09-28,46318.78,,
311,2012-09-29,46971.27,,
312,2012-09-30,50799.67,,
313,2012-10-01,48239.18,,
314,2012-10-02,47621.14,,
315,2012-10-03,47774.23,,
316,2012-10-04,47670.63,,
317,2012-10-05,48931.82,,
318,2012-10-06,49002.28,,
319,2012-10-07,52299.89,,
320,2012-10-08,52221.24,,
321,2012-10-09,49964.16,,
322,2012-10-10,50051.31,,
323,2012-10-11,52309.84,,
324,2012-10-12,50578.32,,
325,2012-10-13,53122.37,,
326,2012-10-14,56533.09,,
327,2012-10-15,53856.79,,
328,2012-10-16,52309.11,,
329,2012-10-17,52014.93,,
330,2012-10-18,51401.06,,
331,2012-10-19,54613.72,,
332,2012-10-20,54573.24,,
333,2012-10-21,58921.39,,
334,2012-10-22,55361.0,,
335,2012-10-23,54847.65,,
336,2012-10-24,53363.05,,
337,2012-10-25,55168.22,,
338,2012-10-26,58860.15,,
339,2012-10-27,62372.85,,
340,2012-10-28,66596.58,,
341,2012-10-29,60751.02,,
342,2012-10-30,59652.3,,
343,2012-10-31,59751.24,,
344,2012-11-01,59514.92,,
345,2012-11-02,60879.83,,
346,2012-11-03,62900.12,,
347,2012-11-04,69664.18,,
348,2012-11-05,62875.68,,
349,2012-11-06,63705.31,,
350,2012-11-07,62124.4,,
351,2012-11-08,60465.46,,
352,2012-11-09,60431.92,,
353,2012-11-10,63139.65,,
354,2012-11-11,66473.92,,
355,2012-11-12,63047.06,,
356,2012-11-13,59186.07,,
357,2012-11-14,59098.21,,
358,2012-11-15,60495.34,,
359,2012-11-16,62364.77,,
360,2012-11-17,63549.36,,
361,2012-11-18,66829.58,,
362,2012-11-19,63099.55,,
363,2012-11-20,61431.71,,
364,2012-11-21,62643.92,,
365,2012-11-22,60824.75,,
366,2012-11-23,60900.31,,
367,2012-11-24,66872.78,,
368,2012-11-25,67399.69,,
369,2012-11-26,63640.53,,
370,2012-11-27,64598.43,,
371,2012-11-28,66176.58,,
372,2012-11-29,66709.29,,
373,2012-11-30,68022.17,,
374,2012-12-01,72563.29,,
375,2012-12-02,75819.44,,
376,2012-12-03,68497.73,,
377,2012-12-04,67807.82,,
378,2012-12-05,70407.52,,
379,2012-12-06,71895.79,,
380,2012-12-07,70912.92,,
381,2012-12-08,70699.25,,
382,2012-12-09,74193.6,,
383,2012-12-10,69244.11,,
384,2012-12-11,65087.0,,
385,2012-12-12,73306.04,,
386,2012-12-13,73645.92,,
387,2012-12-14,72310.53,,
388,2012-12-15,68844.38,,
389,2012-12-16,70541.97,,
390,2012-12-17,66003.55,,
391,2012-12-18,66057.05,,
392,2012-12-19,68504.59,,
393,2012-12-20,67630.96,,
394,2012-12-21,64984.36,,
395,2012-12-22,68183.41,,
396,2012-12-23,65806.96,,
397,2012-12-24,66453.03,,
398,2012-12-25,68988.86,,
399,2012-12-26,64350.88,,
400,2012-12-27,65277.86,,
401,2012-12-28,64881.79,,
402,2012-12-29,64371.36,,
403,2012-12-30,65610.1,,
404,2012-12-31,65599.61,,
405,2013-01-01,65269.37,,
406,2013-01-02,66235.8,,
407,2013-01-03,62832.51,,
408,2013-01-04,62942.03,,
409,2013-01-05,64568.03,,
410,2013-01-06,68459.09,,
411,2013-01-07,64268.26,,
412,2013-01-08,61974.08,,
413,2013-01-09,62511.51,,
414,2013-01-10,66524.21,,
415,2013-01-11,66713.71,,
416,2013-01-12,71923.92,,
417,2013-01-13,75265.22,,
418,2013-01-14,72611.05,,
419,2013-01-15,71281.07,,
420,2013-01-16,72377.18,,
421,2013-01-17,73059.34,,
422,2013-01-18,77294.25,,
423,2013-01-19,80900.96,,
424,2013-01-20,82650.49,,
425,2013-01-21,75034.15,,
426,2013-01-22,74398.34,,
427,2013-01-23,73407.78,,
428,2013-01-24,73479.52,,
429,2013-01-25,73746.76,,
430,2013-01-26,70604.64,,
431,2013-01-27,71041.52,,
432,2013-01-28,67847.05,,
433,2013-01-29,63821.57,,
434,2013-01-30,60862.9,,
435,2013-01-31,61913.05,,
436,2013-02-01,63519.79,,
437,2013-02-02,67804.05,,
438,2013-02-03,73004.99,,
439,2013-02-04,63752.24,,
440,2013-02-05,65876.34,,
441,2013-02-06,67198.97,,
442,2013-02-07,67113.28,,
443,2013-02-08,66414.14,,
444,2013-02-09,70502.46,,
445,2013-02-10,74558.54,,
446,2013-02-11,71613.77,,
447,2013-02-12,70967.21,,
448,2013-02-13,69677.27,,
449,2013-02-14,65642.67,,
450,2013-02-15,63305.9,,
451,2013-02-16,63351.85,,
452,2013-02-17,65874.28,,
453,2013-02-18,63053.03,,
454,2013-02-19,62275.99,,
455,2013-02-20,64104.68,,
456,2013-02-21,68642.46,,
457,2013-02-22,70207.88,,
458,2013-02-23,72307.57,,
459,2013-02-24,76489.95,,
460,2013-02-25,71302.44,,
461,2013-02-26,68637.82,,
462,2013-02-27,65828.77,,
463,2013-02-28,65252.63,,
464,2013-03-01,65543.83,,
465,2013-03-02,66947.84,,
466,2013-03-03,69283.33,,
467,2013-03-04,62415.39,,
468,2013-03-05,59026.71,,
469,2013-03-06,58030.65,,
470,2013-03-07,59173.38,,
471,2013-03-08,59328.96,,
472,2013-03-09,62758.58,,
473,2013-03-10,69642.11,,
474,2013-03-11,71182.88,,
475,2013-03-12,69775.11,,
476,2013-03-13,65762.78,,
477,2013-03-14,63927.71,,
478,2013-03-15,62880.41,,
479,2013-03-16,66099.5,,
480,2013-03-17,68196.74,,
481,2013-03-18,64057.64,,
482,2013-03-19,61743.71,,
483,2013-03-20,63214.62,,
484,2013-03-21,62367.28,,
485,2013-03-22,65425.76,,
486,2013-03-23,72746.36,,
487,2013-03-24,76861.66,,
488,2013-03-25,71061.8,,
489,2013-03-26,69956.09,,
490,2013-03-27,67641.09,,
491,2013-03-28,65159.51,,
492,2013-03-29,66136.13,,
